2022-03-29T15:31:24+01:00
Running ./FinalDenseLookupSmall
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 1.00, 0.88, 0.52
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totlookup","UnsuccesRatio"
"LPMAdd/0/0/iterations:1",1,0.0666513,0.0666364,s,,,,,,0.25,1.3981e+06,0.25
"LPMAdd/1/0/iterations:1",1,0.10629,0.106288,s,,,,,,0.25,2.09715e+06,0.5
"LPMAdd/2/0/iterations:1",1,0.205901,0.205898,s,,,,,,0.25,4.1943e+06,0.75
"LPMAdd/0/1/iterations:1",1,0.093994,0.0939932,s,,,,,,0.35,1.95734e+06,0.25
"LPMAdd/1/1/iterations:1",1,0.154438,0.15443,s,,,,,,0.35,2.93601e+06,0.5
"LPMAdd/2/1/iterations:1",1,0.312944,0.31294,s,,,,,,0.35,5.87202e+06,0.75
"LPMAdd/0/2/iterations:1",1,0.123557,0.123556,s,,,,,,0.45,2.51658e+06,0.25
"LPMAdd/1/2/iterations:1",1,0.20451,0.204507,s,,,,,,0.45,3.77487e+06,0.5
"LPMAdd/2/2/iterations:1",1,0.439794,0.43977,s,,,,,,0.45,7.54974e+06,0.75
"LPMAdd/0/3/iterations:1",1,0.139354,0.139336,s,,,,,,0.5,2.7962e+06,0.25
"LPMAdd/1/3/iterations:1",1,0.232619,0.232587,s,,,,,,0.5,4.1943e+06,0.5
"LPMAdd/2/3/iterations:1",1,0.511371,0.511352,s,,,,,,0.5,8.38861e+06,0.75
"LPMAdd/0/4/iterations:1",1,0.201534,0.201531,s,,,,,,0.7,3.91468e+06,0.25
"LPMAdd/1/4/iterations:1",1,0.356076,0.356046,s,,,,,,0.7,5.87202e+06,0.5
"LPMAdd/2/4/iterations:1",1,0.785794,0.785754,s,,,,,,0.7,1.1744e+07,0.75
"LPMAdd/0/5/iterations:1",1,0.363265,0.363233,s,,,,,,0.9,5.03316e+06,0.25
"LPMAdd/1/5/iterations:1",1,0.793501,0.793442,s,,,,,,0.9,7.54975e+06,0.5
"LPMAdd/2/5/iterations:1",1,2.03706,2.03693,s,,,,,,0.9,1.50995e+07,0.75
"LPMult/0/0/iterations:1",1,0.0671024,0.0671008,s,,,,,,0.25,1.3981e+06,0.25
"LPMult/1/0/iterations:1",1,0.104192,0.104191,s,,,,,,0.25,2.09715e+06,0.5
"LPMult/2/0/iterations:1",1,0.204287,0.20427,s,,,,,,0.25,4.1943e+06,0.75
"LPMult/0/1/iterations:1",1,0.0923497,0.0923381,s,,,,,,0.35,1.95734e+06,0.25
"LPMult/1/1/iterations:1",1,0.149131,0.149107,s,,,,,,0.35,2.93601e+06,0.5
"LPMult/2/1/iterations:1",1,0.306628,0.306606,s,,,,,,0.35,5.87202e+06,0.75
"LPMult/0/2/iterations:1",1,0.119468,0.119461,s,,,,,,0.45,2.51658e+06,0.25
"LPMult/1/2/iterations:1",1,0.197371,0.197369,s,,,,,,0.45,3.77487e+06,0.5
"LPMult/2/2/iterations:1",1,0.425792,0.425773,s,,,,,,0.45,7.54974e+06,0.75
"LPMult/0/3/iterations:1",1,0.127676,0.127674,s,,,,,,0.5,2.7962e+06,0.25
"LPMult/1/3/iterations:1",1,0.22311,0.223107,s,,,,,,0.5,4.1943e+06,0.5
"LPMult/2/3/iterations:1",1,0.493061,0.493041,s,,,,,,0.5,8.38861e+06,0.75
"LPMult/0/4/iterations:1",1,0.187227,0.187193,s,,,,,,0.7,3.91468e+06,0.25
"LPMult/1/4/iterations:1",1,0.345423,0.345411,s,,,,,,0.7,5.87202e+06,0.5
"LPMult/2/4/iterations:1",1,0.76602,0.765965,s,,,,,,0.7,1.1744e+07,0.75
"LPMult/0/5/iterations:1",1,0.346933,0.346914,s,,,,,,0.9,5.03316e+06,0.25
"LPMult/1/5/iterations:1",1,0.785,0.78496,s,,,,,,0.9,7.54975e+06,0.5
"LPMult/2/5/iterations:1",1,2.00555,2.00543,s,,,,,,0.9,1.50995e+07,0.75
"LPMurmur/0/0/iterations:1",1,0.0752326,0.0752018,s,,,,,,0.25,1.3981e+06,0.25
"LPMurmur/1/0/iterations:1",1,0.121794,0.121793,s,,,,,,0.25,2.09715e+06,0.5
"LPMurmur/2/0/iterations:1",1,0.235495,0.235492,s,,,,,,0.25,4.1943e+06,0.75
