2022-03-29T15:21:41+01:00
Running ./FinalSparseLookupSmall
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.22, 0.06, 0.06
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totlookup","UnsuccesRatio"
"LPMAdd/0/0/iterations:1",1,0.0733216,0.0733205,s,,,,,,0.25,1.3981e+06,0.25
"LPMAdd/1/0/iterations:1",1,0.115364,0.115362,s,,,,,,0.25,2.09715e+06,0.5
"LPMAdd/2/0/iterations:1",1,0.218319,0.218317,s,,,,,,0.25,4.1943e+06,0.75
"LPMAdd/0/1/iterations:1",1,0.111342,0.111333,s,,,,,,0.35,1.95734e+06,0.25
"LPMAdd/1/1/iterations:1",1,0.17638,0.176378,s,,,,,,0.35,2.93601e+06,0.5
"LPMAdd/2/1/iterations:1",1,0.345319,0.345298,s,,,,,,0.35,5.87202e+06,0.75
"LPMAdd/0/2/iterations:1",1,0.156479,0.156477,s,,,,,,0.45,2.51658e+06,0.25
"LPMAdd/1/2/iterations:1",1,0.253234,0.253231,s,,,,,,0.45,3.77487e+06,0.5
"LPMAdd/2/2/iterations:1",1,0.512937,0.512906,s,,,,,,0.45,7.54974e+06,0.75
"LPMAdd/0/3/iterations:1",1,0.183161,0.183145,s,,,,,,0.5,2.7962e+06,0.25
"LPMAdd/1/3/iterations:1",1,0.301902,0.301891,s,,,,,,0.5,4.1943e+06,0.5
"LPMAdd/2/3/iterations:1",1,0.618806,0.618791,s,,,,,,0.5,8.38861e+06,0.75
"LPMAdd/0/4/iterations:1",1,0.346072,0.346059,s,,,,,,0.7,3.91468e+06,0.25
