2022-03-29T16:34:55+01:00
Running ./FinalInsertionDenseSmall
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.63, 0.86, 0.87
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totinsert"
"QPMAddT/3/iterations:1",1,0.00850482,0.00850331,s,,,,,,0.5,167773
"QPMAddT/4/iterations:1",1,0.0118139,0.0118125,s,,,,,,0.7,167773
"QPMAddT/5/iterations:1",1,0.0277244,0.0277156,s,,,,,,0.9,167773
"QPMultT/3/iterations:1",1,0.00878873,0.00878837,s,,,,,,0.5,167773
"QPMultT/4/iterations:1",1,0.0134376,0.0134365,s,,,,,,0.7,167773
"QPMultT/5/iterations:1",1,0.0287558,0.0287556,s,,,,,,0.9,167773
"QPMurmurT/3/iterations:1",1,0.0120477,0.0120477,s,,,,,,0.5,167773
"QPMurmurT/4/iterations:1",1,0.0203949,0.0203943,s,,,,,,0.7,167773
"QPMurmurT/5/iterations:1",1,0.0335767,0.0334008,s,,,,,,0.9,167773
"QPTabT/3/iterations:1",1,0.0123364,0.012336,s,,,,,,0.5,167773
"QPTabT/4/iterations:1",1,0.0189559,0.0189553,s,,,,,,0.7,167773
"QPTabT/5/iterations:1",1,0.0341124,0.034112,s,,,,,,0.9,167773
"QPMAddF/3/iterations:1",1,0.0115621,0.0115611,s,,,,,,0.5,167773
"QPMAddF/4/iterations:1",1,0.0182733,0.0182725,s,,,,,,0.7,167773
"QPMAddF/5/iterations:1",1,0.0398489,0.0398379,s,,,,,,0.9,167773
"QPMultF/3/iterations:1",1,0.011323,0.0113222,s,,,,,,0.5,167773
"QPMultF/4/iterations:1",1,0.0177137,0.0177126,s,,,,,,0.7,167773
"QPMultF/5/iterations:1",1,0.0400462,0.0400457,s,,,,,,0.9,167773
"QPMurmurF/3/iterations:1",1,0.0133705,0.0133694,s,,,,,,0.5,167773
"QPMurmurF/4/iterations:1",1,0.0219728,0.0219723,s,,,,,,0.7,167773
"QPMurmurF/5/iterations:1",1,0.0395368,0.0395367,s,,,,,,0.9,167773
"QPTabF/3/iterations:1",1,0.0140871,0.0140863,s,,,,,,0.5,167773
"QPTabF/4/iterations:1",1,0.0229937,0.022993,s,,,,,,0.7,167773
"QPTabF/5/iterations:1",1,0.040735,0.0407336,s,,,,,,0.9,167773
"QPMAddH/3/iterations:1",1,0.0101967,0.0101963,s,,,,,,0.5,167773
"QPMAddH/4/iterations:1",1,0.018864,0.0188634,s,,,,,,0.7,167773
"QPMAddH/5/iterations:1",1,0.0378301,0.03783,s,,,,,,0.9,167773
"QPMultH/3/iterations:1",1,0.0103437,0.0103431,s,,,,,,0.5,167773
"QPMultH/4/iterations:1",1,0.0206216,0.020615,s,,,,,,0.7,167773
"QPMultH/5/iterations:1",1,0.0382406,0.0382396,s,,,,,,0.9,167773
"QPMurmurH/3/iterations:1",1,0.0149049,0.0149039,s,,,,,,0.5,167773
"QPMurmurH/4/iterations:1",1,0.0211682,0.0211676,s,,,,,,0.7,167773
"QPMurmurH/5/iterations:1",1,0.0397008,0.0395253,s,,,,,,0.9,167773
"QPTabH/3/iterations:1",1,0.0164573,0.0164564,s,,,,,,0.5,167773
"QPTabH/4/iterations:1",1,0.0226964,0.0226949,s,,,,,,0.7,167773
"QPTabH/5/iterations:1",1,0.040312,0.0403113,s,,,,,,0.9,167773
