2022-03-29T16:34:30+01:00
Running ./FinalInsertionSparseSmall
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.43, 0.85, 0.87
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totinsert"
"QPMAddT/3/iterations:1",1,0.0107894,0.0107886,s,,,,,,0.5,167773
"QPMAddT/4/iterations:1",1,0.0171181,0.0171183,s,,,,,,0.7,167773
"QPMAddT/5/iterations:1",1,0.0327179,0.0327175,s,,,,,,0.9,167773
"QPMultT/3/iterations:1",1,0.0110663,0.0110657,s,,,,,,0.5,167773
"QPMultT/4/iterations:1",1,0.0172869,0.0172866,s,,,,,,0.7,167773
"QPMultT/5/iterations:1",1,0.032819,0.0328186,s,,,,,,0.9,167773
"QPMurmurT/3/iterations:1",1,0.0114328,0.011432,s,,,,,,0.5,167773
"QPMurmurT/4/iterations:1",1,0.0179696,0.0179691,s,,,,,,0.7,167773
"QPMurmurT/5/iterations:1",1,0.0331121,0.0331116,s,,,,,,0.9,167773
"QPTabT/3/iterations:1",1,0.01259,0.0125898,s,,,,,,0.5,167773
"QPTabT/4/iterations:1",1,0.0216607,0.0216536,s,,,,,,0.7,167773
"QPTabT/5/iterations:1",1,0.0347872,0.0347777,s,,,,,,0.9,167773
"QPMAddH/3/iterations:1",1,0.0147249,0.0147244,s,,,,,,0.5,167773
"QPMAddH/4/iterations:1",1,0.0209824,0.0209819,s,,,,,,0.7,167773
"QPMAddH/5/iterations:1",1,0.0346666,0.0346662,s,,,,,,0.9,167773
"QPMultH/3/iterations:1",1,0.0147775,0.0147676,s,,,,,,0.5,167773
"QPMultH/4/iterations:1",1,0.0205523,0.0205509,s,,,,,,0.7,167773
"QPMultH/5/iterations:1",1,0.0346233,0.0346228,s,,,,,,0.9,167773
"QPMurmurH/3/iterations:1",1,0.0150447,0.0150443,s,,,,,,0.5,167773
"QPMurmurH/4/iterations:1",1,0.0201568,0.0201566,s,,,,,,0.7,167773
"QPMurmurH/5/iterations:1",1,0.0348342,0.0348334,s,,,,,,0.9,167773
"QPTabH/3/iterations:1",1,0.0163973,0.0163965,s,,,,,,0.5,167773
"QPTabH/4/iterations:1",1,0.020714,0.0207131,s,,,,,,0.7,167773
"QPTabH/5/iterations:1",1,0.0357886,0.035788,s,,,,,,0.9,167773
"QPMAddF/3/iterations:1",1,0.012909,0.012908,s,,,,,,0.5,167773
"QPMAddF/4/iterations:1",1,0.0221235,0.0221234,s,,,,,,0.7,167773
"QPMAddF/5/iterations:1",1,0.0401607,0.0401607,s,,,,,,0.9,167773
"QPMultF/3/iterations:1",1,0.01288,0.0128799,s,,,,,,0.5,167773
"QPMultF/4/iterations:1",1,0.0211056,0.0211045,s,,,,,,0.7,167773
"QPMultF/5/iterations:1",1,0.0408528,0.0408527,s,,,,,,0.9,167773
"QPMurmurF/3/iterations:1",1,0.0132908,0.0132903,s,,,,,,0.5,167773
"QPMurmurF/4/iterations:1",1,0.0216931,0.0216926,s,,,,,,0.7,167773
"QPMurmurF/5/iterations:1",1,0.0397159,0.0397149,s,,,,,,0.9,167773
"QPTabF/3/iterations:1",1,0.0138824,0.0138813,s,,,,,,0.5,167773
"QPTabF/4/iterations:1",1,0.0211486,0.0211393,s,,,,,,0.7,167773
"QPTabF/5/iterations:1",1,0.0409053,0.0409053,s,,,,,,0.9,167773
