2022-03-29T15:50:00+01:00
Running ./FinalInsertionSparseSmall
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.85, 0.97, 0.89
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totinsert"
"LPMAdd/0/iterations:1",1,0.007261,0.00725987,s,,,,,,0.25,167773
"LPMAdd/1/iterations:1",1,0.00824977,0.00824871,s,,,,,,0.35,167773
"LPMAdd/2/iterations:1",1,0.00989022,0.0098896,s,,,,,,0.45,167773
"LPMAdd/3/iterations:1",1,0.011106,0.0111047,s,,,,,,0.5,167773
"LPMAdd/4/iterations:1",1,0.0182946,0.0182942,s,,,,,,0.7,167773
"LPMAdd/5/iterations:1",1,0.0551622,0.0551612,s,,,,,,0.9,167773
"LPMult/0/iterations:1",1,0.00731839,0.0073175,s,,,,,,0.25,167773
"LPMult/1/iterations:1",1,0.00834988,0.00834793,s,,,,,,0.35,167773
"LPMult/2/iterations:1",1,0.00989771,0.00989658,s,,,,,,0.45,167773
"LPMult/3/iterations:1",1,0.0109399,0.0109394,s,,,,,,0.5,167773
"LPMult/4/iterations:1",1,0.0180914,0.0180911,s,,,,,,0.7,167773
"LPMult/5/iterations:1",1,0.0549967,0.0549958,s,,,,,,0.9,167773
"LPMurmur/0/iterations:1",1,0.00740971,0.0074085,s,,,,,,0.25,167773
"LPMurmur/1/iterations:1",1,0.00849497,0.008494,s,,,,,,0.35,167773
"LPMurmur/2/iterations:1",1,0.010099,0.0100984,s,,,,,,0.45,167773
"LPMurmur/3/iterations:1",1,0.0111605,0.0111592,s,,,,,,0.5,167773
"LPMurmur/4/iterations:1",1,0.0182744,0.0182738,s,,,,,,0.7,167773
"LPMurmur/5/iterations:1",1,0.0544884,0.0544877,s,,,,,,0.9,167773
"LPTab/0/iterations:1",1,0.00876746,0.00876586,s,,,,,,0.25,167773
"LPTab/1/iterations:1",1,0.0100007,0.00999926,s,,,,,,0.35,167773
"LPTab/2/iterations:1",1,0.0116113,0.0116106,s,,,,,,0.45,167773
"LPTab/3/iterations:1",1,0.0131792,0.0131782,s,,,,,,0.5,167773
"LPTab/4/iterations:1",1,0.0213879,0.0213866,s,,,,,,0.7,167773
"LPTab/5/iterations:1",1,0.0558119,0.055811,s,,,,,,0.9,167773
"Chained8MAdd/0/iterations:1",1,0.00166197,0.00166075,s,,,,,,0.25,167773
"Chained8MAdd/1/iterations:1",1,0.00166251,0.00166124,s,,,,,,0.35,167773
"Chained8MAdd/2/iterations:1",1,0.00186393,0.00186283,s,,,,,,0.45,167773
"Chained8Mult/0/iterations:1",1,0.0017266,0.00172544,s,,,,,,0.25,167773
"Chained8Mult/1/iterations:1",1,0.00172647,0.00172531,s,,,,,,0.35,167773
