2022-01-31T10:49:51+00:00
Running ./Insert_benchmark
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.13, 0.45, 0.70
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totinsert"
"LPMult/0",1,2.98947,3.08943,s,,,,,,0.25,4.29497e+07
"LPMult/1",1,3.16263,3.16257,s,,,,,,0.35,4.29497e+07
"LPMult/2",1,3.69609,3.19602,s,,,,,,0.45,4.29497e+07
"LPMult/3",1,3.69416,3.19411,s,,,,,,0.5,4.29497e+07
"LPMult/4",1,3.6949,3.19486,s,,,,,,0.7,4.29497e+07
"LPMult/5",1,5.20329,5.20322,s,,,,,,0.9,4.29497e+07
"LPMurmur/0",1,3.55532,3.55526,s,,,,,,0.25,4.29497e+07
"LPMurmur/1",1,4.21659,4.21652,s,,,,,,0.35,4.29497e+07
"LPMurmur/2",1,5.16085,5.1608,s,,,,,,0.45,4.29497e+07
"LPMurmur/3",1,6.00243,6.00237,s,,,,,,0.5,4.29497e+07
"LPMurmur/4",1,10.2122,10.2121,s,,,,,,0.7,4.29497e+07
"LPMurmur/5",1,28.6337,28.6335,s,,,,,,0.9,4.29497e+07
"QPMult/3",1,3.77284,3.77278,s,,,,,,0.5,4.29497e+07
"QPMult/4",1,3.77367,3.77363,s,,,,,,0.7,4.29497e+07
"QPMult/5",1,13.949,13.9488,s,,,,,,0.9,4.29497e+07
"QPMurmur/3",1,5.67128,5.67123,s,,,,,,0.5,4.29497e+07
"QPMurmur/4",1,9.56075,9.56068,s,,,,,,0.7,4.29497e+07
"QPMurmur/5",1,17.9759,17.9756,s,,,,,,0.9,4.29497e+07
"RHMult/3",1,4.86812,3.19804,s,,,,,,0.5,4.29497e+07
"RHMult/4",1,4.86828,3.19818,s,,,,,,0.7,4.29497e+07
"RHMult/5",1,11.5739,8.5738,s,,,,,,0.9,4.29497e+07
"RHMurmur/3",1,8.96894,8.96881,s,,,,,,0.5,4.29497e+07
"RHMurmur/4",1,24.5928,24.5925,s,,,,,,0.7,4.29497e+07
"RHMurmur/5",1,518.212,518.21,s,,,,,,0.9,4.29497e+07
"Chained8Mult/0",1,8.8269,8.82675,s,,,,,,0.25,4.29497e+07
"Chained8Mult/1",1,11.6446,11.6444,s,,,,,,0.35,4.29497e+07
"Chained8Mult/2",1,17.7417,17.7415,s,,,,,,0.45,4.29497e+07
"Chained8Murmur/0",1,15.3353,15.3351,s,,,,,,0.25,4.29497e+07
"Chained8Murmur/1",1,14.633,14.6328,s,,,,,,0.35,4.29497e+07
"Chained8Murmur/2",1,19.5642,19.5639,s,,,,,,0.45,4.29497e+07
"Chained24Mult/0",1,3.17521,3.2516,s,,,,,,0.25,4.29497e+07
"Chained24Mult/1",1,3.89326,3.232,s,,,,,,0.35,4.29497e+07
"Chained24Mult/2",1,10.3653,3.2651,s,,,,,,0.45,4.29497e+07
"Chained24Murmur/0",1,7.27954,7.27939,s,,,,,,0.25,4.29497e+07
"Chained24Murmur/1",1,9.18594,9.18576,s,,,,,,0.35,4.29497e+07
"Chained24Murmur/2",1,11.2141,11.2139,s,,,,,,0.45,4.29497e+07

