2022-01-30T18:57:21+00:00
Running ./Insert_benchmark
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.83, 0.61, 0.62
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totinsert"
"LPMult/0",1,0.579541,0.579544,s,,,,,,0.25,1.07374e+07
"LPMult/1",1,0.578167,0.578147,s,,,,,,0.35,1.07374e+07
"LPMult/2",1,0.577438,0.577432,s,,,,,,0.45,1.07374e+07
"LPMult/3",1,0.579327,0.579322,s,,,,,,0.5,1.07374e+07
"LPMult/4",1,0.704001,0.703971,s,,,,,,0.7,1.07374e+07
"LPMult/5",1,0.710955,0.710941,s,,,,,,0.9,1.07374e+07
"LPMurmur/0",1,0.737889,0.737876,s,,,,,,0.25,1.07374e+07
"LPMurmur/1",1,0.867918,0.867901,s,,,,,,0.35,1.07374e+07
"LPMurmur/2",1,1.097,1.09698,s,,,,,,0.45,1.07374e+07
"LPMurmur/3",1,1.27529,1.27526,s,,,,,,0.5,1.07374e+07
"LPMurmur/4",1,2.19265,2.19261,s,,,,,,0.7,1.07374e+07
"LPMurmur/5",1,6.84254,6.84246,s,,,,,,0.9,1.07374e+07
"QPMult/3",1,0.575424,0.575401,s,,,,,,0.5,1.07374e+07
"QPMult/4",1,0.748337,0.778325,s,,,,,,0.7,1.07374e+07
"QPMult/5",1,1.26758,1.16755,s,,,,,,0.9,1.07374e+07
"QPMurmur/3",1,1.23379,1.23375,s,,,,,,0.5,1.07374e+07
"QPMurmur/4",1,2.06895,2.06891,s,,,,,,0.7,1.07374e+07
"QPMurmur/5",1,3.6174,3.61731,s,,,,,,0.9,1.07374e+07
"RHMult/3",1,0.630397,0.580389,s,,,,,,0.5,1.07374e+07
"RHMult/4",1,0.806429,0.76393,s,,,,,,0.7,1.07374e+07
"RHMult/5",1,0.860008,0.81992,s,,,,,,0.9,1.07374e+07
"RHMurmur/3",1,1.97113,1.77111,s,,,,,,0.5,1.07374e+07
"RHMurmur/4",1,5.73219,5.73213,s,,,,,,0.7,1.07374e+07
"RHMurmur/5",1,128.807,120.805,s,,,,,,0.9,1.07374e+07
"Chained8Mult/0",1,2.02482,2.02476,s,,,,,,0.25,1.07374e+07
"Chained8Mult/1",1,2.04933,2.04929,s,,,,,,0.35,1.07374e+07
"Chained8Mult/2",1,2.91701,2.91696,s,,,,,,0.45,1.07374e+07
"Chained8Murmur/0",1,3.25369,3.25361,s,,,,,,0.25,1.07374e+07
"Chained8Murmur/1",1,3.04486,3.0448,s,,,,,,0.35,1.07374e+07
"Chained8Murmur/2",1,4.18879,4.18872,s,,,,,,0.45,1.07374e+07
"Chained24Mult/0",1,0.650963,0.650948,s,,,,,,0.25,1.07374e+07
"Chained24Mult/1",1,0.650595,0.650576,s,,,,,,0.35,1.07374e+07
"Chained24Mult/2",1,1.20318,0.65316,s,,,,,,0.45,1.07374e+07
"Chained24Murmur/0",1,1.54103,1.50099,s,,,,,,0.25,1.07374e+07
"Chained24Murmur/1",1,1.97768,1.97763,s,,,,,,0.35,1.07374e+07
"Chained24Murmur/2",1,2.43174,2.49169,s,,,,,,0.45,1.07374e+07

