2022-01-30T13:38:41+00:00
Running ./Lookup_benchmark_dense
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 1.31, 1.08, 1.02
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totlookup","UnsuccesRatio"
"LPMult/0/0",1,0.607162,0.607148,s,,,,,,0.25,9.11805e+06,0
"LPMult/1/0",1,0.815184,0.815164,s,,,,,,0.25,1.11848e+07,0.25
"LPMult/2/0",1,1.35296,1.35266,s,,,,,,0.25,1.67772e+07,0.5
"LPMult/0/1",1,0.607601,0.607579,s,,,,,,0.35,9.11805e+06,0
"LPMult/1/1",1,0.816687,0.816659,s,,,,,,0.35,1.11848e+07,0.25
"LPMult/2/1",1,1.35866,1.35836,s,,,,,,0.35,1.67772e+07,0.5
"LPMult/0/2",1,0.719539,0.719519,s,,,,,,0.45,9.11805e+06,0
"LPMult/1/2",1,0.937385,0.937336,s,,,,,,0.45,1.11848e+07,0.25
"LPMult/2/2",1,1.4881,1.48777,s,,,,,,0.45,1.67772e+07,0.5
"LPMult/3/0",1,2.71053,2.70993,s,,,,,,0.25,3.35544e+07,0.75
"LPMult/4/0",1,60.5777,60.5759,s,,,,,,0.25,8.38861e+08,100
"LPMult/3/1",1,2.78927,2.78921,s,,,,,,0.35,3.35544e+07,0.75
"LPMult/4/1",1,63.5853,63.5846,s,,,,,,0.35,8.38861e+08,100
"LPMult/3/2",1,2.93966,2.93962,s,,,,,,0.45,3.35544e+07,0.75
"LPMult/4/2",1,68.2641,68.2632,s,,,,,,0.45,8.38861e+08,100
"LPMurmur/0/0",1,0.677398,0.67738,s,,,,,,0.25,9.11805e+06,0
"LPMurmur/1/0",1,0.911805,0.911774,s,,,,,,0.25,1.11848e+07,0.25
"LPMurmur/2/0",1,1.50142,1.50137,s,,,,,,0.25,1.67772e+07,0.5
"LPMurmur/0/1",1,0.711246,0.711216,s,,,,,,0.35,9.11805e+06,0
"LPMurmur/1/1",1,0.968846,0.96883,s,,,,,,0.35,1.11848e+07,0.25
"LPMurmur/2/1",1,1.62127,1.62123,s,,,,,,0.35,1.67772e+07,0.5
"LPMurmur/0/2",1,0.760573,0.76056,s,,,,,,0.45,9.11805e+06,0
"LPMurmur/1/2",1,1.05662,1.05661,s,,,,,,0.45,1.11848e+07,0.25
"LPMurmur/2/2",1,1.80129,1.80125,s,,,,,,0.45,1.67772e+07,0.5
"LPMurmur/3/0",1,2.94031,2.94021,s,,,,,,0.25,3.35544e+07,0.75
"LPMurmur/4/0",1,65.3314,65.3304,s,,,,,,0.25,8.38861e+08,100
"LPMurmur/3/1",1,3.23654,3.23647,s,,,,,,0.35,3.35544e+07,0.75
"LPMurmur/4/1",1,72.9603,72.9592,s,,,,,,0.35,8.38861e+08,100
"LPMurmur/3/2",1,3.65698,3.65693,s,,,,,,0.45,3.35544e+07,0.75
"LPMurmur/4/2",1,84.4466,84.4455,s,,,,,,0.45,8.38861e+08,100
"LPMult/0/3",1,0.719904,0.719878,s,,,,,,0.5,9.11805e+06,0
"LPMult/1/3",1,0.939691,0.939676,s,,,,,,0.5,1.11848e+07,0.25
"LPMult/2/3",1,1.49989,1.49987,s,,,,,,0.5,1.67772e+07,0.5
"LPMult/0/4",1,0.727031,0.72701,s,,,,,,0.7,9.11805e+06,0
"LPMult/1/4",1,0.969706,0.969685,s,,,,,,0.7,1.11848e+07,0.25
"LPMult/2/4",1,1.59488,1.59485,s,,,,,,0.7,1.67772e+07,0.5
"LPMult/3/3",1,2.99296,2.99291,s,,,,,,0.5,3.35544e+07,0.75
"LPMult/4/3",1,70.5222,70.5213,s,,,,,,0.5,8.38861e+08,100
"LPMult/3/4",1,3.26851,3.26846,s,,,,,,0.7,3.35544e+07,0.75
"LPMult/4/4",1,80.2763,80.2752,s,,,,,,0.7,8.38861e+08,100
"LPMult/0/5",1,0.841037,0.841025,s,,,,,,0.9,9.11805e+06,0
"LPMult/1/5",1,1.26364,1.26362,s,,,,,,0.9,1.11848e+07,0.25
"LPMult/2/5",1,2.27283,2.27279,s,,,,,,0.9,1.67772e+07,0.5
"LPMult/3/5",1,4.85193,4.85189,s,,,,,,0.9,3.35544e+07,0.75
"LPMult/4/5",1,120.966,120.964,s,,,,,,0.9,8.38861e+08,100
"LPMurmur/0/3",1,0.793845,0.793833,s,,,,,,0.5,9.11805e+06,0
"LPMurmur/1/3",1,1.11804,1.11802,s,,,,,,0.5,1.11848e+07,0.25
"LPMurmur/2/3",1,1.92824,1.92822,s,,,,,,0.5,1.67772e+07,0.5
"LPMurmur/0/4",1,1.00925,1.00921,s,,,,,,0.7,9.11805e+06,0
"LPMurmur/1/4",1,1.53021,1.5302,s,,,,,,0.7,1.11848e+07,0.25
"LPMurmur/2/4",1,2.79289,2.79284,s,,,,,,0.7,1.67772e+07,0.5
"LPMurmur/3/3",1,3.96626,3.96618,s,,,,,,0.5,3.35544e+07,0.75
"LPMurmur/4/3",1,92.7642,92.7634,s,,,,,,0.5,8.38861e+08,100
"LPMurmur/3/4",1,6.12251,6.12246,s,,,,,,0.7,3.35544e+07,0.75
"LPMurmur/4/4",1,152.913,152.911,s,,,,,,0.7,8.38861e+08,100
"LPMurmur/0/5",1,1.56093,1.56091,s,,,,,,0.9,9.11805e+06,0
