2022-01-29T20:25:49+00:00
Running ./Lookup_benchmark
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.85, 0.98, 0.99
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totlookup","UnsuccesRatio"
"LPMult/0/0",60582052,8.48241e-09,0.424397,s,,,,,,0.25,9.32068e+06,0
"LPMult/1/0",1,0.614401,0.614397,s,,,,,,0.25,1.11848e+07,0.25
"LPMult/2/0",1,1.05027,1.05026,s,,,,,,0.25,1.67772e+07,0.5
"LPMult/0/1",51317822,9.87119e-09,0.423397,s,,,,,,0.35,9.32068e+06,0
"LPMult/1/1",1,0.617546,0.617538,s,,,,,,0.35,1.11848e+07,0.25
"LPMult/2/1",1,1.05916,1.05914,s,,,,,,0.35,1.67772e+07,0.5
"LPMult/0/2",47009219,1.08342e-08,0.423697,s,,,,,,0.45,9.32068e+06,0
"LPMult/1/2",1,0.630841,0.630797,s,,,,,,0.45,1.11848e+07,0.25
"LPMult/2/2",1,1.0911,1.09108,s,,,,,,0.45,1.67772e+07,0.5
"LPMult/3/0",1,2.11536,2.11532,s,,,,,,0.25,3.35544e+07,0.75
"LPMult/4/0",1,46.0702,46.0693,s,,,,,,0.25,8.38861e+08,100
"LPMult/3/1",1,2.20879,2.20874,s,,,,,,0.35,3.35544e+07,0.75
"LPMult/4/1",1,49.5811,49.5802,s,,,,,,0.35,8.38861e+08,100
"LPMult/3/2",1,2.29956,2.2995,s,,,,,,0.45,3.35544e+07,0.75
"LPMult/4/2",1,54.2843,54.2833,s,,,,,,0.45,8.38861e+08,100
"LPMurmur/0/0",1,0.535386,0.535379,s,,,,,,0.25,9.32068e+06,0
"LPMurmur/1/0",1,0.705597,0.705568,s,,,,,,0.25,1.11848e+07,0.25
"LPMurmur/2/0",1,1.1839,1.18388,s,,,,,,0.25,1.67772e+07,0.5
"LPMurmur/0/1",1,0.574213,0.574202,s,,,,,,0.35,9.32068e+06,0
"LPMurmur/1/1",1,0.766447,0.766419,s,,,,,,0.35,1.11848e+07,0.25
"LPMurmur/2/1",1,1.30023,1.30019,s,,,,,,0.35,1.67772e+07,0.5
"LPMurmur/0/2",1,0.627798,0.627755,s,,,,,,0.45,9.32068e+06,0
"LPMurmur/1/2",1,0.849992,0.849989,s,,,,,,0.45,1.11848e+07,0.25
"LPMurmur/2/2",1,1.45543,1.45538,s,,,,,,0.45,1.67772e+07,0.5
"LPMurmur/3/0",1,2.32146,2.32138,s,,,,,,0.25,3.35544e+07,0.75
"LPMurmur/4/0",1,50.6108,50.6099,s,,,,,,0.25,8.38861e+08,100
"LPMurmur/3/1",1,2.61548,2.61539,s,,,,,,0.35,3.35544e+07,0.75
