2022-01-29T18:20:44+00:00
Running ./Lookup_benchmark
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.26, 0.75, 0.91
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totlookup","UnsuccesRatio"
"LPMult/0/0",60582052,8.48241e-09,0.424397,s,,,,,,0.25,9.32068e+06,0
"LPMult/1/0",1,0.589419,0.589408,s,,,,,,0.25,1.11848e+07,0.25
"LPMult/2/0",1,1.01388,1.01387,s,,,,,,0.25,1.67772e+07,0.5
"LPMult/0/1",51317822,9.87119e-09,0.423397,s,,,,,,0.35,9.32068e+06,0
"LPMult/1/1",1,0.590775,0.590756,s,,,,,,0.35,1.11848e+07,0.25
"LPMult/2/1",1,1.02681,1.02678,s,,,,,,0.35,1.67772e+07,0.5
"LPMult/0/2",47009219,1.08342e-08,0.423697,s,,,,,,0.45,9.32068e+06,0
"LPMult/1/2",1,0.598719,0.598701,s,,,,,,0.45,1.11848e+07,0.25
"LPMult/2/2",1,1.03477,1.03475,s,,,,,,0.45,1.67772e+07,0.5
"LPMult/3/0",1,2.06129,2.06125,s,,,,,,0.25,3.35544e+07,0.75
"LPMult/4/0",1,44.1811,44.1807,s,,,,,,0.25,8.38861e+08,100
"LPMult/3/1",1,2.13232,2.13229,s,,,,,,0.35,3.35544e+07,0.75
"LPMult/4/1",1,47.7559,47.7555,s,,,,,,0.35,8.38861e+08,100
"LPMult/3/2",1,2.17619,2.17616,s,,,,,,0.45,3.35544e+07,0.75
"LPMult/4/2",1,50.9249,50.9245,s,,,,,,0.45,8.38861e+08,100
"LPMurmur/0/0",1,0.513607,0.513609,s,,,,,,0.25,9.32068e+06,0
"LPMurmur/1/0",1,0.680722,0.680717,s,,,,,,0.25,1.11848e+07,0.25
"LPMurmur/2/0",1,1.14529,1.14527,s,,,,,,0.25,1.67772e+07,0.5
"LPMurmur/0/1",1,0.55189,0.55186,s,,,,,,0.35,9.32068e+06,0
"LPMurmur/1/1",1,0.739398,0.739382,s,,,,,,0.35,1.11848e+07,0.25
"LPMurmur/2/1",1,1.26128,1.26126,s,,,,,,0.35,1.67772e+07,0.5
"LPMurmur/0/2",1,0.604552,0.604545,s,,,,,,0.45,9.32068e+06,0
"LPMurmur/1/2",1,0.821428,0.821407,s,,,,,,0.45,1.11848e+07,0.25
"LPMurmur/2/2",1,1.41085,1.41083,s,,,,,,0.45,1.67772e+07,0.5
"LPMurmur/3/0",1,2.26066,2.26063,s,,,,,,0.25,3.35544e+07,0.75
"LPMurmur/4/0",1,48.6155,48.615,s,,,,,,0.25,8.38861e+08,100
"LPMurmur/3/1",1,2.55191,2.55186,s,,,,,,0.35,3.35544e+07,0.75
"LPMurmur/4/1",1,56.5174,56.5169,s,,,,,,0.35,8.38861e+08,100
"LPMurmur/3/2",1,2.91988,2.91981,s,,,,,,0.45,3.35544e+07,0.75
"LPMurmur/4/2",1,67.0041,67.0036,s,,,,,,0.45,8.38861e+08,100
"LPMult/0/3",41197636,1.23069e-08,0.43006,s,,,,,,0.5,9.32068e+06,0
"LPMult/1/3",1,0.605218,0.605196,s,,,,,,0.5,1.11848e+07,0.25
"LPMult/2/3",1,1.05051,1.05049,s,,,,,,0.5,1.67772e+07,0.5
"LPMult/0/4",1,0.527512,0.5275,s,,,,,,0.7,9.32068e+06,0
"LPMult/1/4",1,0.739676,0.739658,s,,,,,,0.7,1.11848e+07,0.25
"LPMult/2/4",1,1.30168,1.30166,s,,,,,,0.7,1.67772e+07,0.5
"LPMult/3/3",1,2.20549,2.20546,s,,,,,,0.5,3.35544e+07,0.75
"LPMult/4/3",1,52.6308,52.6305,s,,,,,,0.5,8.38861e+08,100
"LPMult/3/4",1,2.77007,2.77002,s,,,,,,0.7,3.35544e+07,0.75
"LPMult/4/4",1,69.9466,69.9462,s,,,,,,0.7,8.38861e+08,100
"LPMult/0/5",1,0.631249,0.631247,s,,,,,,0.9,9.32068e+06,0
"LPMult/1/5",1,1.00121,1.0012,s,,,,,,0.9,1.11848e+07,0.25
"LPMult/2/5",1,1.99026,1.99023,s,,,,,,0.9,1.67772e+07,0.5
"LPMult/3/5",1,4.50495,4.50489,s,,,,,,0.9,3.35544e+07,0.75
"LPMult/4/5",1,117.402,117.401,s,,,,,,0.9,8.38861e+08,100
"LPMurmur/0/3",1,0.635617,0.635612,s,,,,,,0.5,9.32068e+06,0
"LPMurmur/1/3",1,0.869741,0.869739,s,,,,,,0.5,1.11848e+07,0.25
"LPMurmur/2/3",1,1.49922,1.49919,s,,,,,,0.5,1.67772e+07,0.5
"LPMurmur/0/4",1,0.831013,0.831016,s,,,,,,0.7,9.32068e+06,0
"LPMurmur/1/4",1,1.1779,1.17788,s,,,,,,0.7,1.11848e+07,0.25
"LPMurmur/2/4",1,2.10873,2.10871,s,,,,,,0.7,1.67772e+07,0.5
"LPMurmur/3/3",1,3.13509,3.13505,s,,,,,,0.5,3.35544e+07,0.75
"LPMurmur/4/3",1,73.7841,73.7835,s,,,,,,0.5,8.38861e+08,100
"LPMurmur/3/4",1,4.61253,4.6125,s,,,,,,0.7,3.35544e+07,0.75
"LPMurmur/4/4",1,117.646,117.645,s,,,,,,0.7,8.38861e+08,100
"LPMurmur/0/5",1,1.32543,1.32542,s,,,,,,0.9,9.32068e+06,0
"LPMurmur/1/5",1,2.0742,2.07414,s,,,,,,0.9,1.11848e+07,0.25
"LPMurmur/2/5",1,4.17665,4.17658,s,,,,,,0.9,1.67772e+07,0.5
"LPMurmur/3/5",1,10.1847,10.1846,s,,,,,,0.9,3.35544e+07,0.75
"LPMurmur/4/5",1,291.787,291.785,s,,,,,,0.9,8.38861e+08,100
"QPMult/0/3",48378653,1.05631e-08,0.43006,s,,,,,,0.5,9.32068e+06,0
