2022-01-31T12:33:36+00:00
Running ./Insert_benchmark
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.00, 0.18, 0.56
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totinsert"
"LPMult/0",1,3.47688,3.47681,s,,,,,,0.25,4.29497e+07
"LPMult/1",1,3.89477,3.89468,s,,,,,,0.35,4.29497e+07
"LPMult/2",1,4.63602,4.63596,s,,,,,,0.45,4.29497e+07
"LPMult/3",1,5.19018,5.1901,s,,,,,,0.5,4.29497e+07
"LPMult/4",1,9.39268,9.39256,s,,,,,,0.7,4.29497e+07
"LPMult/5",1,28.5234,28.523,s,,,,,,0.9,4.29497e+07
"LPMurmur/0",1,3.52352,3.52346,s,,,,,,0.25,4.29497e+07
"LPMurmur/1",1,3.9801,3.98003,s,,,,,,0.35,4.29497e+07
"LPMurmur/2",1,4.73932,4.73923,s,,,,,,0.45,4.29497e+07
"LPMurmur/3",1,5.29756,5.29747,s,,,,,,0.5,4.29497e+07
"LPMurmur/4",1,9.45053,9.4504,s,,,,,,0.7,4.29497e+07
"LPMurmur/5",1,28.5373,28.5371,s,,,,,,0.9,4.29497e+07
"QPMult/3",1,5.26682,5.26672,s,,,,,,0.5,4.29497e+07
"QPMult/4",1,9.76586,9.76576,s,,,,,,0.7,4.29497e+07
"QPMult/5",1,17.9418,17.9414,s,,,,,,0.9,4.29497e+07
"QPMurmur/3",1,5.29324,5.29316,s,,,,,,0.5,4.29497e+07
"QPMurmur/4",1,8.50136,9.90124,s,,,,,,0.7,4.29497e+07
"QPMurmur/5",1,17.9174,18.317,s,,,,,,0.9,4.29497e+07
"RHMult/3",1,9.04597,9.04582,s,,,,,,0.5,4.29497e+07
"RHMult/4",1,24.1142,24.1139,s,,,,,,0.7,4.29497e+07
"RHMult/5",1,507.713,507.709,s,,,,,,0.9,4.29497e+07
"RHMurmur/3",1,8.72621,8.72604,s,,,,,,0.5,4.29497e+07
"RHMurmur/4",1,24.1821,24.1818,s,,,,,,0.7,4.29497e+07
"RHMurmur/5",1,528.028,528.024,s,,,,,,0.9,4.29497e+07
"Chained8Mult/0",1,14.9997,14.9994,s,,,,,,0.25,4.29497e+07
"Chained8Mult/1",1,14.2816,14.2814,s,,,,,,0.35,4.29497e+07
"Chained8Mult/2",1,19.1793,19.1789,s,,,,,,0.45,4.29497e+07
"Chained8Murmur/0",1,15.1095,15.1091,s,,,,,,0.25,4.29497e+07
"Chained8Murmur/1",1,14.4112,14.4109,s,,,,,,0.35,4.29497e+07
"Chained8Murmur/2",1,19.3155,19.3151,s,,,,,,0.45,4.29497e+07
"Chained24Mult/0",1,6.56516,6.565,s,,,,,,0.25,4.29497e+07
"Chained24Mult/1",1,9.01397,9.01382,s,,,,,,0.35,4.29497e+07
"Chained24Mult/2",1,11.0869,11.0866,s,,,,,,0.45,4.29497e+07
"Chained24Murmur/0",1,7.07603,7.07589,s,,,,,,0.25,4.29497e+07
"Chained24Murmur/1",1,9.37395,9.37375,s,,,,,,0.35,4.29497e+07
"Chained24Murmur/2",1,11.35,11.3497,s,,,,,,0.45,4.29497e+07

