2022-01-30T18:17:45+00:00
Running ./Insert_benchmark
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.70, 0.83, 0.91
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totinsert"
"LPMult/0",1,0.537435,0.537426,s,,,,,,0.25,8.05306e+06
"LPMult/1",1,0.616881,0.616858,s,,,,,,0.35,8.05306e+06
"LPMult/2",1,0.749833,0.749826,s,,,,,,0.45,8.05306e+06
"LPMult/3",1,0.846437,0.846431,s,,,,,,0.5,8.05306e+06
"LPMult/4",1,1.46556,1.46553,s,,,,,,0.7,8.05306e+06
"LPMult/5",1,4.5735,4.57344,s,,,,,,0.9,8.05306e+06
"LPMurmur/0",1,0.545416,0.545409,s,,,,,,0.25,8.05306e+06
"LPMurmur/1",1,0.630802,0.630794,s,,,,,,0.35,8.05306e+06
"LPMurmur/2",1,0.769343,0.769347,s,,,,,,0.45,8.05306e+06
"LPMurmur/3",1,0.864709,0.864705,s,,,,,,0.5,8.05306e+06
"LPMurmur/4",1,1.48594,1.48592,s,,,,,,0.7,8.05306e+06
"LPMurmur/5",1,4.56656,4.56653,s,,,,,,0.9,8.05306e+06
"QPMult/3",1,0.878431,0.878426,s,,,,,,0.5,8.05306e+06
"QPMult/4",1,1.51102,1.51099,s,,,,,,0.7,8.05306e+06
"QPMult/5",1,2.57494,2.57489,s,,,,,,0.9,8.05306e+06
"QPMurmur/3",1,0.885709,0.885714,s,,,,,,0.5,8.05306e+06
"QPMurmur/4",1,1.51056,1.51055,s,,,,,,0.7,8.05306e+06
"QPMurmur/5",1,2.5724,2.77235,s,,,,,,0.9,8.05306e+06
"RHMult/3",1,1.47275,1.47273,s,,,,,,0.5,8.05306e+06
"RHMult/4",1,4.02348,4.02344,s,,,,,,0.7,8.05306e+06
"RHMult/5",1,76.4077,76.4071,s,,,,,,0.9,8.05306e+06
"RHMurmur/3",1,1.44189,1.44187,s,,,,,,0.5,8.05306e+06
"RHMurmur/4",1,4.03733,4.03728,s,,,,,,0.7,8.05306e+06
"RHMurmur/5",1,78.749,78.7485,s,,,,,,0.9,8.05306e+06
"Chained8Mult/0",1,2.38523,2.3852,s,,,,,,0.25,8.05306e+06
"Chained8Mult/1",1,2.23733,2.23729,s,,,,,,0.35,8.05306e+06
"Chained8Mult/2",1,3.08352,3.08348,s,,,,,,0.45,8.05306e+06
"Chained8Murmur/0",1,2.41184,2.41179,s,,,,,,0.25,8.05306e+06
"Chained8Murmur/1",1,2.25521,2.25519,s,,,,,,0.35,8.05306e+06
"Chained8Murmur/2",1,3.10503,3.10499,s,,,,,,0.45,8.05306e+06
"Chained24Mult/0",1,1.07216,1.07213,s,,,,,,0.25,8.05306e+06
"Chained24Mult/1",1,1.40573,1.40568,s,,,,,,0.35,8.05306e+06
"Chained24Mult/2",1,1.77315,1.77314,s,,,,,,0.45,8.05306e+06
"Chained24Murmur/0",1,1.1497,1.14967,s,,,,,,0.25,8.05306e+06
"Chained24Murmur/1",1,1.46572,1.46571,s,,,,,,0.35,8.05306e+06
"Chained24Murmur/2",1,1.82143,1.82138,s,,,,,,0.45,8.05306e+06

