2022-02-21T17:08:29+00:00
Running ./DenseInsert
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.06, 0.01, 0.00
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totinsert"
"tslRHMult/3",1,0.559497,0.559499,s,,,,,,0.5,6.71089e+06
"tslRHMult/4",1,0.698145,0.698139,s,,,,,,0.7,6.71089e+06
"tslRHMult/5",1,0.766813,0.766803,s,,,,,,0.9,6.71089e+06
"tslRHMurmur/3",1,0.554759,0.554747,s,,,,,,0.5,6.71089e+06
"tslRHMurmur/4",1,1.2358,1.23577,s,,,,,,0.7,6.71089e+06
"tslRHMurmur/5",1,3.55588,3.55578,s,,,,,,0.9,6.71089e+06
"robin_hoodRHMult/3",1,0.824501,0.824502,s,,,,,,0.5,6.71089e+06
"robin_hoodRHMult/4",1,0.993182,0.993162,s,,,,,,0.7,6.71089e+06
"robin_hoodRHMult/5",1,10.242,10.2406,s,,,,,,0.9,6.71089e+06
"robin_hoodRHMurmur/3",1,0.574788,0.574783,s,,,,,,0.5,6.71089e+06
"robin_hoodRHMurmur/4",1,1.0132,1.01318,s,,,,,,0.7,6.71089e+06
"robin_hoodRHMurmur/5",1,2.39025,2.39019,s,,,,,,0.9,6.71089e+06
"tslQPMult/3",1,2.81352,2.81344,s,,,,,,0.5,6.71089e+06
"tslQPMult/4",1,3.18352,3.18346,s,,,,,,0.7,6.71089e+06
"tslQPMult/5",1,3.7631,3.76303,s,,,,,,0.9,6.71089e+06
"tslQPMurmur/3",1,2.09251,2.09249,s,,,,,,0.5,6.71089e+06
"tslQPMurmur/4",1,2.61626,2.61621,s,,,,,,0.7,6.71089e+06
"tslQPMurmur/5",1,4.23144,4.23136,s,,,,,,0.9,6.71089e+06
"sppQPMult/3",1,3.15791,3.15784,s,,,,,,0.5,6.71089e+06
"sppQPMult/4",1,3.61223,3.61217,s,,,,,,0.7,6.71089e+06
"sppQPMult/5",1,4.12383,4.12375,s,,,,,,0.9,6.71089e+06
"sppQPMurmur/3",1,2.87773,2.87767,s,,,,,,0.5,6.71089e+06
"sppQPMurmur/4",1,3.33481,3.33476,s,,,,,,0.7,6.71089e+06
"sppQPMurmur/5",1,4.47475,4.47464,s,,,,,,0.9,6.71089e+06
"gabrielQPMult/3",1,0.575424,0.575401,s,,,,,,0.5,1.07374e+07
"gabrielQPMult/4",1,0.748337,0.778325,s,,,,,,0.7,1.07374e+07
"gabrielQPMult/5",1,1.26758,1.16755,s,,,,,,0.9,1.07374e+07
"gabrielQPMurmur/3",1,1.23379,1.23375,s,,,,,,0.5,1.07374e+07
"gabrielQPMurmur/4",1,2.06895,2.06891,s,,,,,,0.7,1.07374e+07
"gabrielQPMurmur/5",1,3.6174,3.61731,s,,,,,,0.9,1.07374e+07
"gabrielRHMult/3",1,0.630397,0.580389,s,,,,,,0.5,1.07374e+07
"gabrielRHMult/4",1,0.806429,0.76393,s,,,,,,0.7,1.07374e+07
"gabrielRHMult/5",1,0.860008,0.81992,s,,,,,,0.9,1.07374e+07
"gabrielRHMurmur/3",1,1.97113,1.77111,s,,,,,,0.5,1.07374e+07
"gabrielRHMurmur/4",1,5.73219,5.73213,s,,,,,,0.7,1.07374e+07
"gabrielRHMurmur/5",1,128.807,120.805,s,,,,,,0.9,1.07374e+07
