2022-02-21T08:36:00+00:00
Running ./DenseLookup
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.27, 0.48, 0.68
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totlookup","UnsuccesRatio"
"tslRHMult/0/3",1,2.05229,2.05223,s,,,,,,0.5,3.56962e+07,0
"tslRHMult/1/3",1,2.66775,2.6677,s,,,,,,0.5,4.47392e+07,0.25
"tslRHMult/2/3",1,4.04954,4.04947,s,,,,,,0.5,6.71089e+07,0.5
"tslRHMult/0/4",1,2.23135,2.23128,s,,,,,,0.7,3.56962e+07,0
"tslRHMult/1/4",1,3.04409,3.04403,s,,,,,,0.7,4.47392e+07,0.25
"tslRHMult/2/4",1,4.75868,4.7586,s,,,,,,0.7,6.71089e+07,0.5
"tslRHMult/3/3",1,7.70758,7.70748,s,,,,,,0.5,1.34218e+08,0.75
"tslRHMult/4/3",1,167.412,167.409,s,,,,,,0.5,3.35544e+09,100
"tslRHMult/3/4",1,9.69958,9.69938,s,,,,,,0.7,1.34218e+08,0.75
"tslRHMult/4/4",1,236.323,236.319,s,,,,,,0.7,3.35544e+09,100
"tslRHMult/0/5",1,2.34586,2.34579,s,,,,,,0.9,3.56962e+07,0
"tslRHMult/1/5",1,3.49606,3.49598,s,,,,,,0.9,4.47392e+07,0.25
"tslRHMult/2/5",1,5.78979,5.78964,s,,,,,,0.9,6.71089e+07,0.5
"tslRHMult/3/5",1,12.1063,12.1061,s,,,,,,0.9,1.34218e+08,0.75
"tslRHMult/4/5",1,302.516,302.511,s,,,,,,0.9,3.35544e+09,100
"tslRHMurmur/0/3",1,1.31751,1.31746,s,,,,,,0.5,3.56962e+07,0
"tslRHMurmur/1/3",1,1.82071,1.82065,s,,,,,,0.5,4.47392e+07,0.25
"tslRHMurmur/2/3",1,3.04538,3.04531,s,,,,,,0.5,6.71089e+07,0.5
"tslRHMurmur/0/4",1,1.8634,1.86334,s,,,,,,0.7,3.56962e+07,0
"tslRHMurmur/1/4",1,2.56726,2.5672,s,,,,,,0.7,4.47392e+07,0.25
"tslRHMurmur/2/4",1,3.98702,3.98689,s,,,,,,0.7,6.71089e+07,0.5
"tslRHMurmur/3/3",1,5.82605,5.82595,s,,,,,,0.5,1.34218e+08,0.75
"tslRHMurmur/4/3",1,127.85,127.848,s,,,,,,0.5,3.35544e+09,100
"tslRHMurmur/3/4",1,7.41763,7.41749,s,,,,,,0.7,1.34218e+08,0.75
"tslRHMurmur/4/4",1,167.899,167.896,s,,,,,,0.7,3.35544e+09,100
"tslRHMurmur/0/5",1,4.40918,4.40909,s,,,,,,0.9,3.56962e+07,0
"tslRHMurmur/1/5",1,5.62268,5.62261,s,,,,,,0.9,4.47392e+07,0.25
"tslRHMurmur/2/5",1,8.17033,8.17021,s,,,,,,0.9,6.71089e+07,0.5
"tslRHMurmur/3/5",1,15.3079,15.3077,s,,,,,,0.9,1.34218e+08,0.75
