2022-01-29T15:22:14+00:00
Running ./Lookup_benchmark
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.21, 0.71, 0.89
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totlookup","UnsuccesRatio"
"gabrielQPMult/0/3",1,0.645909,0.645894,s,,,,,,0.5,9.11805e+06,0
"gabrielQPMult/1/3",1,0.891151,0.891134,s,,,,,,0.5,1.11848e+07,0.25
"gabrielQPMult/2/3",1,1.50806,1.508,s,,,,,,0.5,1.67772e+07,0.5
"gabrielQPMult/0/4",1,0.827898,0.821864,s,,,,,,0.7,9.11805e+06,0
"gabrielQPMult/1/4",1,1.23487,1.22485,s,,,,,,0.7,1.11848e+07,0.25
"gabrielQPMult/2/4",1,2.19139,2.14133,s,,,,,,0.7,1.67772e+07,0.5
"gabrielQPMult/3/3",1,3.15385,3.0538,s,,,,,,0.5,3.35544e+07,0.75
"gabrielQPMult/4/3",1,77.707,73.7061,s,,,,,,0.5,8.38861e+08,100
"gabrielQPMult/3/4",1,4.25214,4.7408,s,,,,,,0.7,3.35544e+07,0.75
"gabrielQPMult/4/4",1,108.402,118.5467,s,,,,,,0.7,8.38861e+08,100
"gabrielQPMult/0/5",1,1.16743,1.1674,s,,,,,,0.9,9.11805e+06,0
"gabrielQPMult/1/5",1,1.81738,1.81733,s,,,,,,0.9,1.11848e+07,0.25
"gabrielQPMult/2/5",1,3.34221,3.34214,s,,,,,,0.9,1.67772e+07,0.5
"gabrielQPMult/3/5",1,7.53718,7.537,s,,,,,,0.9,3.35544e+07,0.75
"gabrielQPMult/4/5",1,204.321,204.317,s,,,,,,0.9,8.38861e+08,100
"gabrielQPMurmur/0/3",1,0.689011,0.689004,s,,,,,,0.5,9.11805e+06,0
"gabrielQPMurmur/1/3",1,0.970763,0.97073,s,,,,,,0.5,1.11848e+07,0.25
"gabrielQPMurmur/2/3",1,1.66419,1.66416,s,,,,,,0.5,1.67772e+07,0.5
"gabrielQPMurmur/0/4",1,0.907925,0.907904,s,,,,,,0.7,9.11805e+06,0
"gabrielQPMurmur/1/4",1,1.34347,1.34344,s,,,,,,0.7,1.11848e+07,0.25
"gabrielQPMurmur/2/4",1,2.39442,2.39437,s,,,,,,0.7,1.67772e+07,0.5
"gabrielQPMurmur/3/3",1,3.44968,3.44959,s,,,,,,0.5,3.35544e+07,0.75
"gabrielQPMurmur/4/3",1,83.3085,83.3073,s,,,,,,0.5,8.38861e+08,100
"gabrielQPMurmur/3/4",1,5.01551,5.01537,s,,,,,,0.7,3.35544e+07,0.75
"gabrielQPMurmur/4/4",1,126.073,126.071,s,,,,,,0.7,8.38861e+08,100
"gabrielQPMurmur/0/5",1,1.31631,1.31627,s,,,,,,0.9,9.11805e+06,0
"gabrielQPMurmur/1/5",1,2.05427,2.05423,s,,,,,,0.9,1.11848e+07,0.25
"gabrielQPMurmur/2/5",1,3.63638,3.6363,s,,,,,,0.9,1.67772e+07,0.5
"gabrielQPMurmur/3/5",1,7.95902,7.95882,s,,,,,,0.9,3.35544e+07,0.75
"gabrielQPMurmur/4/5",1,212.654,212.651,s,,,,,,0.9,8.38861e+08,100
"gabrielRHMult/0/3",1,0.615217,0.615209,s,,,,,,0.5,9.11805e+06,0
"gabrielRHMult/1/3",1,0.845915,0.845907,s,,,,,,0.5,1.11848e+07,0.25
"gabrielRHMult/2/3",1,1.40897,1.40893,s,,,,,,0.5,1.67772e+07,0.5
"gabrielRHMult/0/4",1,0.822839,0.822823,s,,,,,,0.7,9.11805e+06,0
"gabrielRHMult/1/4",1,1.10428,1.10426,s,,,,,,0.7,1.11848e+07,0.25
"gabrielRHMult/2/4",1,1.78029,1.78026,s,,,,,,0.7,1.67772e+07,0.5
"gabrielRHMult/3/3",1,2.90136,2.90132,s,,,,,,0.5,3.35544e+07,0.75
"gabrielRHMult/4/3",1,68.8204,68.8195,s,,,,,,0.5,8.38861e+08,100
"gabrielRHMult/3/4",1,3.68655,3.6865,s,,,,,,0.7,3.35544e+07,0.75
"gabrielRHMult/4/4",1,91.3897,91.3885,s,,,,,,0.7,8.38861e+08,100
"gabrielRHMult/0/5",1,1.31084,1.5908,s,,,,,,0.9,9.11805e+06,0
"gabrielRHMult/1/5",1,2.40863,2.2086,s,,,,,,0.9,1.11848e+07,0.25
