2022-03-26T23:49:19+00:00
Running ./Insertion_benchmark_sparse
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.32, 0.77, 0.71
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totinsert"
"LPMult/0",1,0.692281,0.692257,s,,,,,,0.25,1.20796e+07
"LPMult/1",1,0.803023,0.802988,s,,,,,,0.35,1.20796e+07
"LPMult/2",1,1.03903,1.03898,s,,,,,,0.45,1.20796e+07
"LPMult/3",1,1.23016,1.23012,s,,,,,,0.5,1.20796e+07
"LPMult/4",1,2.08824,2.08801,s,,,,,,0.7,1.20796e+07
"LPMult/5",1,27.8201,27.8174,s,,,,,,0.9,1.20796e+07
"LPMurmur/0",1,0.699998,0.69996,s,,,,,,0.25,1.20796e+07
"LPMurmur/1",1,0.817502,0.817445,s,,,,,,0.35,1.20796e+07
"LPMurmur/2",1,1.01002,1.00985,s,,,,,,0.45,1.20796e+07
"LPMurmur/3",1,1.14264,1.14259,s,,,,,,0.5,1.20796e+07
"LPMurmur/4",1,1.97815,1.97795,s,,,,,,0.7,1.20796e+07
"LPMurmur/5",1,27.6208,27.6182,s,,,,,,0.9,1.20796e+07
"QPMult/3",1,1.13665,1.1366,s,,,,,,0.5,1.20796e+07
"QPMult/4",1,1.69191,1.69173,s,,,,,,0.7,1.20796e+07
"QPMult/5",1,5.56471,5.56407,s,,,,,,0.9,1.20796e+07
"QPMurmur/3",1,1.14356,1.14338,s,,,,,,0.5,1.20796e+07
"QPMurmur/4",1,1.74228,1.7422,s,,,,,,0.7,1.20796e+07
"QPMurmur/5",1,5.5808,5.58029,s,,,,,,0.9,1.20796e+07
"RHMult/3",1,2.07614,2.07594,s,,,,,,0.5,1.20796e+07
"RHMult/4",1,6.209,6.20842,s,,,,,,0.7,1.20796e+07
"RHMurmur/3",1,2.06596,2.06575,s,,,,,,0.5,1.20796e+07
"RHMurmur/4",1,6.40621,6.40551,s,,,,,,0.7,1.20796e+07
"Chained24Mult/0",1,0.845824,0.8458,s,,,,,,0.25,1.20796e+07
"Chained24Mult/1",1,0.993939,0.993744,s,,,,,,0.35,1.20796e+07
"Chained24Mult/2",1,1.18439,1.1842,s,,,,,,0.45,1.20796e+07
"Chained24Murmur/0",1,0.896263,0.896245,s,,,,,,0.25,1.20796e+07
"Chained24Murmur/1",1,1.02648,1.0263,s,,,,,,0.35,1.20796e+07
"Chained24Murmur/2",1,1.18586,1.18568,s,,,,,,0.45,1.20796e+07
