2022-03-26T13:25:13+00:00
Running ./Lookup_benchmark_dense
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.04, 0.33, 0.40
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totlookup","UnsuccesRatio"
"CuckooMultAdd/0/3",1,1.64368,1.64361,s,,,,,,0.5,1.72961e+07,0
"CuckooMultAdd/1/3",1,3.0391,3.03899,s,,,,,,0.5,2.23696e+07,0.25
"CuckooMultAdd/2/3",1,4.64026,4.64009,s,,,,,,0.5,3.35544e+07,0.5
"CuckooMultAdd/0/4",1,2.02173,2.02163,s,,,,,,0.7,1.72961e+07,0
"CuckooMultAdd/1/4",1,3.04289,3.04276,s,,,,,,0.7,2.23696e+07,0.25
"CuckooMultAdd/2/4",1,4.76944,4.76923,s,,,,,,0.7,3.35544e+07,0.5
"CuckooMultAdd/3/3",1,9.48009,9.47976,s,,,,,,0.5,6.71089e+07,0.75
"CuckooMultAdd/4/3",1,126.109,126.104,s,,,,,,0.5,8.38861e+08,100
"CuckooMultAdd/3/4",1,9.56278,9.5624,s,,,,,,0.7,6.71089e+07,0.75
"CuckooMultAdd/4/4",1,126.303,126.299,s,,,,,,0.7,8.38861e+08,100
"CuckooMultAdd/0/5",1,2.28737,2.28727,s,,,,,,0.9,1.72961e+07,0
"CuckooMultAdd/1/5",1,3.13499,3.13484,s,,,,,,0.9,2.23696e+07,0.25
"CuckooMultAdd/2/5",1,4.78106,4.78087,s,,,,,,0.9,3.35544e+07,0.5
"CuckooMultAdd/3/5",1,9.60003,9.59971,s,,,,,,0.9,6.71089e+07,0.75
"CuckooMultAdd/4/5",1,126.378,126.373,s,,,,,,0.9,8.38861e+08,100
"CuckooTab/0/3",1,2.41723,2.41715,s,,,,,,0.5,1.72961e+07,0
"CuckooTab/1/3",1,3.66229,3.66214,s,,,,,,0.5,2.23696e+07,0.25
"CuckooTab/2/3",1,5.71319,5.71298,s,,,,,,0.5,3.35544e+07,0.5
"CuckooTab/0/4",1,2.70896,2.70887,s,,,,,,0.7,1.72961e+07,0
"CuckooTab/1/4",1,3.79103,3.79088,s,,,,,,0.7,2.23696e+07,0.25
"CuckooTab/2/4",1,5.73335,5.73317,s,,,,,,0.7,3.35544e+07,0.5
"CuckooTab/3/3",1,11.4308,11.4304,s,,,,,,0.5,6.71089e+07,0.75
"CuckooTab/4/3",1,146.204,146.2,s,,,,,,0.5,8.38861e+08,100
"CuckooTab/3/4",1,11.3778,11.3774,s,,,,,,0.7,6.71089e+07,0.75
"CuckooTab/4/4",1,146.406,146.401,s,,,,,,0.7,8.38861e+08,100
"CuckooTab/0/5",1,2.88152,2.8814,s,,,,,,0.9,1.72961e+07,0
"CuckooTab/1/5",1,3.84738,3.84723,s,,,,,,0.9,2.23696e+07,0.25
"CuckooTab/2/5",1,5.73541,5.73518,s,,,,,,0.9,3.35544e+07,0.5
"CuckooTab/3/5",1,11.3464,11.346,s,,,,,,0.9,6.71089e+07,0.75
"CuckooTab/4/5",1,146.578,146.573,s,,,,,,0.9,8.38861e+08,100
