2022-03-26T00:04:55+00:00
Running ./Lookup_benchmark_sparse
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.08, 0.07, 0.09
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totlookup","UnsuccesRatio"
"LPMultAdd/0/0",1,0.943058,0.943018,s,,,,,,0.25,1.72961e+07,0
"LPMultAdd/1/0",1,1.25844,1.25835,s,,,,,,0.25,2.23696e+07,0.25
"LPMultAdd/2/0",1,1.97438,1.97431,s,,,,,,0.25,3.35544e+07,0.5
"LPMultAdd/0/1",1,1.00302,1.00297,s,,,,,,0.35,1.72961e+07,0
"LPMultAdd/1/1",1,1.36701,1.36695,s,,,,,,0.35,2.23696e+07,0.25
"LPMultAdd/2/1",1,2.15822,2.15812,s,,,,,,0.35,3.35544e+07,0.5
"LPMultAdd/0/2",1,1.05739,1.05735,s,,,,,,0.45,1.72961e+07,0
"LPMultAdd/1/2",1,1.49857,1.49851,s,,,,,,0.45,2.23696e+07,0.25
"LPMultAdd/2/2",1,2.42417,2.42408,s,,,,,,0.45,3.35544e+07,0.5
"LPMultAdd/3/0",1,3.80006,3.79991,s,,,,,,0.25,6.71089e+07,0.75
"LPMultAdd/4/0",1,42.463,42.4614,s,,,,,,0.25,8.38861e+08,100
"LPMultAdd/3/1",1,4.25677,4.25661,s,,,,,,0.35,6.71089e+07,0.75
"LPMultAdd/4/1",1,48.4033,48.4016,s,,,,,,0.35,8.38861e+08,100
"LPMultAdd/3/2",1,4.9258,4.92561,s,,,,,,0.45,6.71089e+07,0.75
"LPMultAdd/4/2",1,57.2924,57.2904,s,,,,,,0.45,8.38861e+08,100
"LPTab/0/0",1,1.18446,1.1844,s,,,,,,0.25,1.72961e+07,0
"LPTab/1/0",1,1.57479,1.57471,s,,,,,,0.25,2.23696e+07,0.25
"LPTab/2/0",1,2.45194,2.45185,s,,,,,,0.25,3.35544e+07,0.5
"LPTab/0/1",1,1.24256,1.2425,s,,,,,,0.35,1.72961e+07,0
"LPTab/1/1",1,1.66959,1.66952,s,,,,,,0.35,2.23696e+07,0.25
"LPTab/2/1",1,2.61109,2.61096,s,,,,,,0.35,3.35544e+07,0.5
"LPTab/0/2",1,1.28236,1.2823,s,,,,,,0.45,1.72961e+07,0
"LPTab/1/2",1,1.78769,1.78761,s,,,,,,0.45,2.23696e+07,0.25
"LPTab/2/2",1,2.88012,2.88001,s,,,,,,0.45,3.35544e+07,0.5
"LPTab/3/0",1,4.74752,4.74735,s,,,,,,0.25,6.71089e+07,0.75
"LPTab/4/0",1,54.1656,54.1637,s,,,,,,0.25,8.38861e+08,100
"LPTab/3/1",1,5.17246,5.17225,s,,,,,,0.35,6.71089e+07,0.75
"LPTab/4/1",1,60.281,60.2789,s,,,,,,0.35,8.38861e+08,100
"LPTab/3/2",1,5.84496,5.84472,s,,,,,,0.45,6.71089e+07,0.75
"LPTab/4/2",1,69.2614,69.2589,s,,,,,,0.45,8.38861e+08,100
"LPMultAdd/0/3",1,1.0901,1.09004,s,,,,,,0.5,1.72961e+07,0
"LPMultAdd/1/3",1,1.57739,1.57731,s,,,,,,0.5,2.23696e+07,0.25
"LPMultAdd/2/3",1,2.59528,2.59517,s,,,,,,0.5,3.35544e+07,0.5
"LPMultAdd/0/4",1,1.33055,1.33049,s,,,,,,0.7,1.72961e+07,0
"LPMultAdd/1/4",1,2.14718,2.1471,s,,,,,,0.7,2.23696e+07,0.25
"LPMultAdd/2/4",1,3.75309,3.75295,s,,,,,,0.7,3.35544e+07,0.5
"LPMultAdd/3/3",1,5.36351,5.36329,s,,,,,,0.5,6.71089e+07,0.75
"LPMultAdd/4/3",1,63.1178,63.1156,s,,,,,,0.5,8.38861e+08,100
"LPMultAdd/3/4",1,8.19274,8.19244,s,,,,,,0.7,6.71089e+07,0.75
"LPMultAdd/4/4",1,102.491,102.487,s,,,,,,0.7,8.38861e+08,100
"LPMultAdd/0/5",1,1.96888,1.96881,s,,,,,,0.9,1.72961e+07,0
"LPMultAdd/1/5",1,3.7957,3.79554,s,,,,,,0.9,2.23696e+07,0.25
"LPMultAdd/2/5",1,7.56543,7.56515,s,,,,,,0.9,3.35544e+07,0.5
"LPMultAdd/3/5",1,18.4956,18.4949,s,,,,,,0.9,6.71089e+07,0.75
"LPMultAdd/4/5",1,284.721,284.711,s,,,,,,0.9,8.38861e+08,100
"LPTab/0/3",1,1.31204,1.31199,s,,,,,,0.5,1.72961e+07,0
"LPTab/1/3",1,1.88457,1.88446,s,,,,,,0.5,2.23696e+07,0.25
"LPTab/2/3",1,3.0774,3.07727,s,,,,,,0.5,3.35544e+07,0.5
