2022-03-26T11:43:24+00:00
Running ./Lookup_benchmark_sparse
Run on (10 X 3200 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 1024 KiB (x10)
  L3 Unified 14080 KiB (x1)
Load Average: 0.03, 0.02, 0.00
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Loadfactor","Totlookup","UnsuccesRatio"
"CuckooMultAdd/0/3",1,1.77074,1.77068,s,,,,,,0.5,1.72961e+07,0
"CuckooMultAdd/1/3",1,2.97854,2.97841,s,,,,,,0.5,2.23696e+07,0.25
"CuckooMultAdd/2/3",1,4.70437,4.70419,s,,,,,,0.5,3.35544e+07,0.5
"CuckooMultAdd/0/4",1,2.07067,2.07061,s,,,,,,0.7,1.72961e+07,0
"CuckooMultAdd/1/4",1,3.08421,3.0841,s,,,,,,0.7,2.23696e+07,0.25
"CuckooMultAdd/2/4",1,4.74822,4.74805,s,,,,,,0.7,3.35544e+07,0.5
"CuckooMultAdd/3/3",1,9.53152,9.53119,s,,,,,,0.5,6.71089e+07,0.75
"CuckooMultAdd/4/3",1,126.535,126.531,s,,,,,,0.5,8.38861e+08,100
"CuckooMultAdd/3/4",1,9.59064,9.59033,s,,,,,,0.7,6.71089e+07,0.75
"CuckooMultAdd/4/4",1,126.88,126.876,s,,,,,,0.7,8.38861e+08,100
"CuckooMultAdd/0/5",1,2.27523,2.2751,s,,,,,,0.9,1.72961e+07,0
"CuckooMultAdd/1/5",1,3.14309,3.14299,s,,,,,,0.9,2.23696e+07,0.25
"CuckooMultAdd/2/5",1,4.78628,4.78611,s,,,,,,0.9,3.35544e+07,0.5
"CuckooMultAdd/3/5",1,9.60662,9.60623,s,,,,,,0.9,6.71089e+07,0.75
"CuckooMultAdd/4/5",1,126.501,126.497,s,,,,,,0.9,8.38861e+08,100
"CuckooTab/0/3",1,2.42345,2.42335,s,,,,,,0.5,1.72961e+07,0
"CuckooTab/1/3",1,3.6875,3.68735,s,,,,,,0.5,2.23696e+07,0.25
"CuckooTab/2/3",1,5.76302,5.76281,s,,,,,,0.5,3.35544e+07,0.5
"CuckooTab/0/4",1,2.74516,2.74506,s,,,,,,0.7,1.72961e+07,0
"CuckooTab/1/4",1,3.83687,3.83672,s,,,,,,0.7,2.23696e+07,0.25
"CuckooTab/2/4",1,5.80828,5.80809,s,,,,,,0.7,3.35544e+07,0.5
"CuckooTab/3/3",1,11.5226,11.5222,s,,,,,,0.5,6.71089e+07,0.75
"CuckooTab/4/3",1,146.652,146.647,s,,,,,,0.5,8.38861e+08,100
"CuckooTab/3/4",1,11.5034,11.503,s,,,,,,0.7,6.71089e+07,0.75
"CuckooTab/4/4",1,147.115,147.11,s,,,,,,0.7,8.38861e+08,100
"CuckooTab/0/5",1,2.92053,2.92041,s,,,,,,0.9,1.72961e+07,0
"CuckooTab/1/5",1,3.90101,3.90087,s,,,,,,0.9,2.23696e+07,0.25
"CuckooTab/2/5",1,5.81896,5.81877,s,,,,,,0.9,3.35544e+07,0.5
"CuckooTab/3/5",1,11.4966,11.4962,s,,,,,,0.9,6.71089e+07,0.75
"CuckooTab/4/5",1,147.03,147.025,s,,,,,,0.9,8.38861e+08,100
